TubID,LizardID,Treatment,Date,Time,Trial,Correct,Latency,lt,learnt
1,3372126,SL,12/10/2015,Morning,1,1,531,1,1
1,3372126,SL,12/10/2015,Afternoon,2,1,411,1,1
1,3372126,SL,13/10/2015,Morning,3,1,144,1,1
1,3372126,SL,13/10/2015,Afternoon,4,1,94,1,1
1,3372126,SL,14/10/2015,Morning,5,1,305,1,1
1,3372126,SL,14/10/2015,Afternoon,6,1,657,1,1
1,3372126,SL,15/10/2015,Morning,7,1,102,1,1
1,3372126,SL,16/10/2015,Morning,8,1,208,0,1
1,3372126,SL,16/10/2015,Afternoon,9,1,729,0,1
2,3369769,SL,12/10/2015,Morning,1,1,401,1,1
2,3369769,SL,12/10/2015,Afternoon,2,1,558,1,1
2,3369769,SL,13/10/2015,Morning,3,1,111,1,1
2,3369769,SL,13/10/2015,Afternoon,4,1,93,1,1
2,3369769,SL,14/10/2015,Morning,5,1,164,1,1
2,3369769,SL,14/10/2015,Afternoon,6,1,425,1,1
2,3369769,SL,15/10/2015,Morning,7,1,511,1,1
2,3369769,SL,15/10/2015,Afternoon,8,1,198,0,1
2,3369769,SL,16/10/2015,Morning,9,1,164,0,1
2,3369769,SL,16/10/2015,Afternoon,10,1,133,0,1
3,1469222,SL,12/10/2015,Morning,1,1,2038,1,1
3,1469222,SL,12/10/2015,Afternoon,2,1,373,1,1
3,1469222,SL,13/10/2015,Morning,3,1,2207,1,1
3,1469222,SL,14/10/2015,Afternoon,4,1,104,1,1
3,1469222,SL,15/10/2015,Morning,5,1,151,1,1
3,1469222,SL,15/10/2015,Afternoon,6,1,174,1,1
3,1469222,SL,16/10/2015,Morning,7,1,226,1,1
3,1469222,SL,16/10/2015,Afternoon,8,1,627,0,1
4,3374160,SL,12/10/2015,Morning,1,1,223,1,1
4,3374160,SL,12/10/2015,Afternoon,2,1,1801,1,1
4,3374160,SL,13/10/2015,Morning,3,1,186,1,1
4,3374160,SL,13/10/2015,Afternoon,4,1,407,1,1
4,3374160,SL,14/10/2015,Morning,5,1,587,1,1
4,3374160,SL,14/10/2015,Afternoon,6,1,1239,1,1
4,3374160,SL,15/10/2015,Morning,7,1,149,1,1
4,3374160,SL,15/10/2015,Afternoon,8,1,569,0,1
4,3374160,SL,16/10/2015,Morning,9,1,2881,0,1
4,3374160,SL,16/10/2015,Afternoon,10,1,1443,0,1
5,1470760,C,12/10/2015,Morning,1,1,79,1,1
5,1470760,C,12/10/2015,Afternoon,2,1,172,1,1
5,1470760,C,13/10/2015,Morning,3,1,885,1,1
5,1470760,C,13/10/2015,Afternoon,4,1,178,1,1
5,1470760,C,14/10/2015,Morning,5,1,75,1,1
5,1470760,C,14/10/2015,Afternoon,6,1,161,1,1
5,1470760,C,15/10/2015,Morning,7,1,147,1,1
5,1470760,C,15/10/2015,Afternoon,8,1,121,0,1
5,1470760,C,16/10/2015,Morning,9,1,55,0,1
5,1470760,C,16/10/2015,Afternoon,10,1,79,0,1
6,1469178,C,12/10/2015,Morning,1,1,141,1,1
6,1469178,C,12/10/2015,Afternoon,2,1,113,1,1
6,1469178,C,13/10/2015,Morning,3,1,331,1,1
6,1469178,C,13/10/2015,Afternoon,4,1,127,1,1
6,1469178,C,14/10/2015,Morning,5,1,113,1,1
6,1469178,C,14/10/2015,Afternoon,6,1,698,1,1
6,1469178,C,15/10/2015,Morning,7,1,765,1,1
6,1469178,C,15/10/2015,Afternoon,8,1,96,0,1
6,1469178,C,16/10/2015,Morning,9,1,18,0,1
6,1469178,C,16/10/2015,Afternoon,10,0,NA,0,1
7,1468504,C,12/10/2015,Morning,1,1,164,1,1
7,1468504,C,12/10/2015,Afternoon,2,1,267,1,1
7,1468504,C,13/10/2015,Morning,3,1,89,1,1
7,1468504,C,13/10/2015,Afternoon,4,1,614,1,1
7,1468504,C,14/10/2015,Morning,5,1,90,1,1
7,1468504,C,14/10/2015,Afternoon,6,1,732,1,1
7,1468504,C,15/10/2015,Morning,7,1,62,1,1
7,1468504,C,15/10/2015,Afternoon,8,1,262,0,1
7,1468504,C,16/10/2015,Morning,9,1,122,0,1
7,1468504,C,16/10/2015,Afternoon,10,1,656,0,1
8,3371239,C,12/10/2015,Morning,1,1,584,1,1
8,3371239,C,12/10/2015,Afternoon,2,1,291,1,1
8,3371239,C,13/10/2015,Morning,3,1,507,1,1
8,3371239,C,13/10/2015,Afternoon,4,1,619,1,1
8,3371239,C,14/10/2015,Morning,5,1,153,1,1
8,3371239,C,14/10/2015,Afternoon,6,0,NA,1,1
8,3371239,C,15/10/2015,Morning,7,1,248,1,1
8,3371239,C,15/10/2015,Afternoon,8,1,204,0,1
8,3371239,C,16/10/2015,Morning,9,1,81,0,1
