"","X","TubID","LizardID","Treatment","Date","Time","Trial","Correct","Choose.only.correct.dish","Latency","lt","learnt"
"1",1,1,"1468549","SL",2015-09-07,"Morning",1,0,0,NA,1,0
"2",2,1,"1468549","SL",2015-09-07,"Afternoon",2,0,0,NA,1,0
"3",3,1,"1468549","SL",2015-09-08,"Morning",3,1,0,169,1,0
"4",4,1,"1468549","SL",2015-09-08,"Afternoon",4,1,0,1076,1,0
"5",5,1,"1468549","SL",2015-09-09,"Morning",5,1,1,227,1,0
"6",6,1,"1468549","SL",2015-09-09,"Afternoon",6,1,1,3506,1,0
"7",7,1,"1468549","SL",2015-09-10,"Morning",7,1,0,457,1,0
"8",8,1,"1468549","SL",2015-09-10,"Afternoon",8,1,1,956,1,0
"9",9,1,"1468549","SL",2015-09-11,"Morning",9,0,0,NA,1,0
"10",10,1,"1468549","SL",2015-09-11,"Afternoon",10,0,0,NA,1,0
"11",11,1,"1468549","SL",2015-09-14,"Morning",11,0,0,NA,1,0
"12",12,1,"1468549","SL",2015-09-14,"Afternoon",12,1,0,783,1,0
"13",13,1,"1468549","SL",2015-09-15,"Morning",13,1,0,332,1,0
"14",14,1,"1468549","SL",2015-09-15,"Afternoon",14,1,1,928,1,0
"15",15,1,"1468549","SL",2015-09-16,"Morning",15,1,1,1132,1,0
"16",16,1,"1468549","SL",2015-09-16,"Afternoon",16,0,0,NA,1,0
"17",17,1,"1468549","SL",2015-09-17,"Morning",17,1,0,850,1,0
"18",18,1,"1468549","SL",2015-09-17,"Afternoon",18,0,0,NA,1,0
"19",19,1,"1468549","SL",2015-09-18,"Morning",19,1,0,243,1,0
"20",20,1,"1468549","SL",2015-09-18,"Afternoon",20,1,0,669,1,0
"21",21,2,"1468506","SL",2015-09-07,"Morning",1,1,0,158,1,0
"22",22,2,"1468506","SL",2015-09-07,"Afternoon",2,0,0,NA,1,0
"23",23,2,"1468506","SL",2015-09-08,"Morning",3,0,0,NA,1,0
"24",24,2,"1468506","SL",2015-09-08,"Afternoon",4,0,0,NA,1,0
"25",25,2,"1468506","SL",2015-09-09,"Morning",5,1,0,104,1,0
"26",27,2,"1468506","SL",2015-09-10,"Morning",6,1,1,203,1,0
"27",28,2,"1468506","SL",2015-09-10,"Afternoon",7,1,1,1182,1,0
"28",29,2,"1468506","SL",2015-09-11,"Morning",8,0,0,NA,1,0
"29",30,2,"1468506","SL",2015-09-11,"Afternoon",9,1,0,476,1,0
"30",31,2,"1468506","SL",2015-09-14,"Morning",10,0,0,NA,1,0
"31",32,2,"1468506","SL",2015-09-14,"Afternoon",11,1,0,224,1,0
"32",33,2,"1468506","SL",2015-09-15,"Morning",12,0,0,NA,1,0
"33",34,2,"1468506","SL",2015-09-15,"Afternoon",13,0,0,NA,1,0
"34",35,2,"1468506","SL",2015-09-16,"Morning",14,1,0,64,1,0
"35",36,2,"1468506","SL",2015-09-16,"Afternoon",15,0,0,NA,1,0
"36",37,2,"1468506","SL",2015-09-17,"Morning",16,0,0,NA,1,0
"37",38,2,"1468506","SL",2015-09-17,"Afternoon",17,1,0,443,1,0
"38",39,2,"1468506","SL",2015-09-18,"Morning",18,1,0,13,1,0
"39",40,2,"1468506","SL",2015-09-18,"Afternoon",19,1,0,227,1,0
"40",41,3,"1469229","SL",2015-09-07,"Morning",1,1,0,794,NA,0
"41",43,3,"1469229","SL",2015-09-08,"Morning",3,0,0,NA,NA,0
"42",44,3,"1469229","SL",2015-09-08,"Afternoon",4,0,0,NA,NA,0
"43",45,3,"1469229","SL",2015-09-09,"Morning",5,0,0,NA,NA,0
"44",47,3,"1469229","SL",2015-09-10,"Morning",7,0,0,NA,NA,0
"45",48,3,"1469229","SL",2015-09-10,"Afternoon",8,1,1,864,NA,0
"46",49,3,"1469229","SL",2015-09-11,"Morning",9,0,0,NA,NA,0
"47",50,3,"1469229","SL",2015-09-11,"Afternoon",10,1,0,569,NA,0
"48",51,3,"1469229","SL",2015-09-14,"Morning",11,1,0,250,NA,0
"49",52,3,"1469229","SL",2015-09-14,"Afternoon",12,1,1,849,NA,0
"50",53,3,"1469229","SL",2015-09-15,"Morning",13,1,1,676,NA,0
"51",54,3,"1469229","SL",2015-09-15,"Afternoon",14,1,0,791,NA,0
"52",55,3,"1469229","SL",2015-09-16,"Morning",15,1,0,522,NA,0
"53",57,3,"1469229","SL",2015-09-17,"Morning",17,1,0,231,NA,0
"54",58,3,"1469229","SL",2015-09-17,"Afternoon",18,1,0,438,NA,0
"55",59,3,"1469229","SL",2015-09-18,"Morning",19,1,0,478,NA,0
"56",60,3,"1469229","SL",2015-09-18,"Afternoon",20,1,0,944,NA,0
"57",61,4,"1468502","SL",2015-09-07,"Morning",1,0,0,NA,1,0
"58",63,4,"1468502","SL",2015-09-08,"Morning",2,0,0,NA,1,0
"59",64,4,"1468502","SL",2015-09-08,"Afternoon",3,1,1,2207,1,0
"60",65,4,"1468502","SL",2015-09-09,"Morning",4,1,1,848,1,0
"61",66,4,"1468502","SL",2015-09-09,"Afternoon",5,1,0,1967,1,0
"62",67,4,"1468502","SL",2015-09-10,"Morning",6,1,0,482,1,0
"63",68,4,"1468502","SL",2015-09-10,"Afternoon",7,1,0,9250,1,0
"64",69,4,"1468502","SL",2015-09-11,"Morning",8,1,1,1545,1,0
"65",71,4,"1468502","SL",2015-09-14,"Morning",9,0,0,NA,1,0
"66",72,4,"1468502","SL",2015-09-14,"Afternoon",10,0,0,NA,1,0
"67",73,4,"1468502","SL",2015-09-15,"Morning",11,1,1,1354,1,0
"68",74,4,"1468502","SL",2015-09-15,"Afternoon",12,0,0,NA,1,0
"69",75,4,"1468502","SL",2015-09-16,"Morning",13,0,0,NA,1,0
"70",76,4,"1468502","SL",2015-09-16,"Afternoon",14,1,0,509,1,0
"71",77,4,"1468502","SL",2015-09-17,"Morning",15,0,0,NA,1,0
"72",78,4,"1468502","SL",2015-09-17,"Afternoon",16,1,0,328,1,0
"73",79,4,"1468502","SL",2015-09-18,"Morning",17,1,0,252,1,0
"74",80,4,"1468502","SL",2015-09-18,"Afternoon",18,1,1,1402,1,0
"75",82,6,"1468510","SL",2015-09-07,"Afternoon",2,0,0,NA,NA,0
"76",83,6,"1468510","SL",2015-09-08,"Morning",3,0,0,NA,NA,0
"77",84,6,"1468510","SL",2015-09-08,"Afternoon",4,1,1,1544,NA,0
"78",85,6,"1468510","SL",2015-09-09,"Morning",5,1,1,1657,NA,0
