TubID,LizardID,Treatment,Date,Time,Trial,Correct,Latency
1,3372126,SL,10/12/2015,Morning,1,1,531
1,3372126,SL,10/12/2015,Afternoon,2,1,411
1,3372126,SL,10/13/2015,Morning,3,1,144
1,3372126,SL,10/13/2015,Afternoon,4,1,94
1,3372126,SL,10/14/2015,Morning,5,1,305
1,3372126,SL,10/14/2015,Afternoon,6,1,657
1,3372126,SL,10/15/2015,Morning,7,1,102
1,3372126,SL,10/15/2015,Afternoon,8,NA,NA
1,3372126,SL,10/16/2015,Morning,9,1,208
1,3372126,SL,10/16/2015,Afternoon,10,1,729
2,3369769,SL,10/12/2015,Morning,1,1,401
2,3369769,SL,10/12/2015,Afternoon,2,1,558
2,3369769,SL,10/13/2015,Morning,3,1,111
2,3369769,SL,10/13/2015,Afternoon,4,1,93
2,3369769,SL,10/14/2015,Morning,5,1,164
2,3369769,SL,10/14/2015,Afternoon,6,1,425
2,3369769,SL,10/15/2015,Morning,7,1,511
2,3369769,SL,10/15/2015,Afternoon,8,1,198
2,3369769,SL,10/16/2015,Morning,9,1,164
2,3369769,SL,10/16/2015,Afternoon,10,1,133
3,1469222,SL,10/12/2015,Morning,1,1,2038
3,1469222,SL,10/12/2015,Afternoon,2,1,373
3,1469222,SL,10/13/2015,Morning,3,1,2207
3,1469222,SL,10/13/2015,Afternoon,4,NA,NA
3,1469222,SL,10/14/2015,Morning,5,NA,NA
3,1469222,SL,10/14/2015,Afternoon,6,1,104
3,1469222,SL,10/15/2015,Morning,7,1,151
3,1469222,SL,10/15/2015,Afternoon,8,1,174
3,1469222,SL,10/16/2015,Morning,9,1,226
3,1469222,SL,10/16/2015,Afternoon,10,1,627
4,3374160,SL,10/12/2015,Morning,1,1,223
4,3374160,SL,10/12/2015,Afternoon,2,1,1801
4,3374160,SL,10/13/2015,Morning,3,1,186
4,3374160,SL,10/13/2015,Afternoon,4,1,407
4,3374160,SL,10/14/2015,Morning,5,1,587
4,3374160,SL,10/14/2015,Afternoon,6,1,1239
4,3374160,SL,10/15/2015,Morning,7,1,149
4,3374160,SL,10/15/2015,Afternoon,8,1,569
4,3374160,SL,10/16/2015,Morning,9,1,2881
4,3374160,SL,10/16/2015,Afternoon,10,1,1443
5,1470760,C,10/12/2015,Morning,1,1,79
5,1470760,C,10/12/2015,Afternoon,2,1,172
5,1470760,C,10/13/2015,Morning,3,1,885
5,1470760,C,10/13/2015,Afternoon,4,1,178
5,1470760,C,10/14/2015,Morning,5,1,75
5,1470760,C,10/14/2015,Afternoon,6,1,161
5,1470760,C,10/15/2015,Morning,7,1,147
5,1470760,C,10/15/2015,Afternoon,8,1,121
5,1470760,C,10/16/2015,Morning,9,1,55
5,1470760,C,10/16/2015,Afternoon,10,1,79
6,1469178,C,10/12/2015,Morning,1,1,141
6,1469178,C,10/12/2015,Afternoon,2,1,113
6,1469178,C,10/13/2015,Morning,3,1,331
6,1469178,C,10/13/2015,Afternoon,4,1,127
6,1469178,C,10/14/2015,Morning,5,1,113
6,1469178,C,10/14/2015,Afternoon,6,1,698
6,1469178,C,10/15/2015,Morning,7,1,765
6,1469178,C,10/15/2015,Afternoon,8,1,96
6,1469178,C,10/16/2015,Morning,9,1,18
6,1469178,C,10/16/2015,Afternoon,10,0,NA
7,1468504,C,10/12/2015,Morning,1,1,164
7,1468504,C,10/12/2015,Afternoon,2,1,267
7,1468504,C,10/13/2015,Morning,3,1,89
7,1468504,C,10/13/2015,Afternoon,4,1,614
7,1468504,C,10/14/2015,Morning,5,1,90
7,1468504,C,10/14/2015,Afternoon,6,1,732
7,1468504,C,10/15/2015,Morning,7,1,62
7,1468504,C,10/15/2015,Afternoon,8,1,262
7,1468504,C,10/16/2015,Morning,9,1,122
7,1468504,C,10/16/2015,Afternoon,10,1,656
8,3371239,C,10/12/2015,Morning,1,1,584
8,3371239,C,10/12/2015,Afternoon,2,1,291
8,3371239,C,10/13/2015,Morning,3,1,507
8,3371239,C,10/13/2015,Afternoon,4,1,619
8,3371239,C,10/14/2015,Morning,5,1,153
8,3371239,C,10/14/2015,Afternoon,6,0,NA
8,3371239,C,10/15/2015,Morning,7,1,248
8,3371239,C,10/15/2015,Afternoon,8,1,204
8,3371239,C,10/16/2015,Morning,9,1,81
8,3371239,C,10/16/2015,Afternoon,10,1,719
9,1468529,C,10/12/2015,Morning,1,1,368
9,1468529,C,10/12/2015,Afternoon,2,1,162
9,1468529,C,10/13/2015,Morning,3,1,80
9,1468529,C,10/13/2015,Afternoon,4,1,224
9,1468529,C,10/14/2015,Morning,5,1,202
9,1468529,C,10/14/2015,Afternoon,6,1,156
9,1468529,C,10/15/2015,Morning,7,1,452
9,1468529,C,10/15/2015,Afternoon,8,1,201
9,1468529,C,10/16/2015,Morning,9,1,143
9,1468529,C,10/16/2015,Afternoon,10,1,118
10,3371916,C,10/12/2015,Morning,1,1,128
10,3371916,C,10/12/2015,Afternoon,2,1,94
10,3371916,C,10/13/2015,Morning,3,1,187
10,3371916,C,10/13/2015,Afternoon,4,1,143
10,3371916,C,10/14/2015,Morning,5,1,212
10,3371916,C,10/14/2015,Afternoon,6,1,253
10,3371916,C,10/15/2015,Morning,7,1,45
10,3371916,C,10/15/2015,Afternoon,8,1,181
10,3371916,C,10/16/2015,Morning,9,1,160
10,3371916,C,10/16/2015,Afternoon,10,1,332
11,1468538,C,10/12/2015,Morning,1,1,223
11,1468538,C,10/12/2015,Afternoon,2,0,NA
11,1468538,C,10/13/2015,Morning,3,1,424
