,TubID,LizardID,Treatment,Date,Time,Trial,Correct,Choose.only.correct.dish,Latency
1,1,1468549,SL,9/7/2015,Morning,1,0,0,NA
2,1,1468549,SL,9/7/2015,Afternoon,2,0,0,NA
3,1,1468549,SL,9/8/2015,Morning,3,1,0,169
4,1,1468549,SL,9/8/2015,Afternoon,4,1,0,1076
5,1,1468549,SL,9/9/2015,Morning,5,1,1,227
6,1,1468549,SL,9/9/2015,Afternoon,6,1,1,3506
7,1,1468549,SL,9/10/2015,Morning,7,1,0,457
8,1,1468549,SL,9/10/2015,Afternoon,8,1,1,956
9,1,1468549,SL,9/11/2015,Morning,9,0,0,NA
10,1,1468549,SL,9/11/2015,Afternoon,10,0,0,NA
11,1,1468549,SL,9/14/2015,Morning,11,0,0,NA
12,1,1468549,SL,9/14/2015,Afternoon,12,1,0,783
13,1,1468549,SL,9/15/2015,Morning,13,1,0,332
14,1,1468549,SL,9/15/2015,Afternoon,14,1,1,928
15,1,1468549,SL,9/16/2015,Morning,15,1,1,1132
16,1,1468549,SL,9/16/2015,Afternoon,16,0,0,NA
17,1,1468549,SL,9/17/2015,Morning,17,1,0,850
18,1,1468549,SL,9/17/2015,Afternoon,18,0,0,NA
19,1,1468549,SL,9/18/2015,Morning,19,1,0,243
20,1,1468549,SL,9/18/2015,Afternoon,20,1,0,669
21,2,1468506,SL,9/7/2015,Morning,1,1,0,158
22,2,1468506,SL,9/7/2015,Afternoon,2,0,0,NA
23,2,1468506,SL,9/8/2015,Morning,3,0,0,NA
24,2,1468506,SL,9/8/2015,Afternoon,4,0,0,NA
25,2,1468506,SL,9/9/2015,Morning,5,1,0,104
26,2,1468506,SL,9/9/2015,Afternoon,6,NA,NA,NA
27,2,1468506,SL,9/10/2015,Morning,7,1,1,203
28,2,1468506,SL,9/10/2015,Afternoon,8,1,1,1182
29,2,1468506,SL,9/11/2015,Morning,9,0,0,NA
30,2,1468506,SL,9/11/2015,Afternoon,10,1,0,476
31,2,1468506,SL,9/14/2015,Morning,11,0,0,NA
32,2,1468506,SL,9/14/2015,Afternoon,12,1,0,224
33,2,1468506,SL,9/15/2015,Morning,13,0,0,NA
34,2,1468506,SL,9/15/2015,Afternoon,14,0,0,NA
35,2,1468506,SL,9/16/2015,Morning,15,1,0,64
36,2,1468506,SL,9/16/2015,Afternoon,16,0,0,NA
37,2,1468506,SL,9/17/2015,Morning,17,0,0,NA
38,2,1468506,SL,9/17/2015,Afternoon,18,1,0,443
39,2,1468506,SL,9/18/2015,Morning,19,1,0,13
40,2,1468506,SL,9/18/2015,Afternoon,20,1,0,227
41,3,1469229,SL,9/7/2015,Morning,1,1,0,794
42,3,1469229,SL,9/7/2015,Afternoon,2,NA,NA,NA
43,3,1469229,SL,9/8/2015,Morning,3,0,0,NA
44,3,1469229,SL,9/8/2015,Afternoon,4,0,0,NA
45,3,1469229,SL,9/9/2015,Morning,5,0,0,NA
46,3,1469229,SL,9/9/2015,Afternoon,6,NA,NA,NA
47,3,1469229,SL,9/10/2015,Morning,7,0,0,NA
48,3,1469229,SL,9/10/2015,Afternoon,8,1,1,864
49,3,1469229,SL,9/11/2015,Morning,9,0,0,NA
50,3,1469229,SL,9/11/2015,Afternoon,10,1,0,569
51,3,1469229,SL,9/14/2015,Morning,11,1,0,250
52,3,1469229,SL,9/14/2015,Afternoon,12,1,1,849
53,3,1469229,SL,9/15/2015,Morning,13,1,1,676
54,3,1469229,SL,9/15/2015,Afternoon,14,1,0,791
55,3,1469229,SL,9/16/2015,Morning,15,1,0,522
56,3,1469229,SL,9/16/2015,Afternoon,16,NA,NA,NA
57,3,1469229,SL,9/17/2015,Morning,17,1,0,231
58,3,1469229,SL,9/17/2015,Afternoon,18,1,0,438
59,3,1469229,SL,9/18/2015,Morning,19,1,0,478
60,3,1469229,SL,9/18/2015,Afternoon,20,1,0,944
61,4,1468502,SL,9/7/2015,Morning,1,0,0,NA
62,4,1468502,SL,9/7/2015,Afternoon,2,NA,NA,NA
63,4,1468502,SL,9/8/2015,Morning,3,0,0,NA
64,4,1468502,SL,9/8/2015,Afternoon,4,1,1,2207
65,4,1468502,SL,9/9/2015,Morning,5,1,1,848
66,4,1468502,SL,9/9/2015,Afternoon,6,1,0,1967
67,4,1468502,SL,9/10/2015,Morning,7,1,0,482
68,4,1468502,SL,9/10/2015,Afternoon,8,1,0,9250
69,4,1468502,SL,9/11/2015,Morning,9,1,1,1545
70,4,1468502,SL,9/11/2015,Afternoon,10,NA,NA,NA
71,4,1468502,SL,9/14/2015,Morning,11,0,0,NA
72,4,1468502,SL,9/14/2015,Afternoon,12,0,0,NA
73,4,1468502,SL,9/15/2015,Morning,13,1,1,1354
74,4,1468502,SL,9/15/2015,Afternoon,14,0,0,NA
75,4,1468502,SL,9/16/2015,Morning,15,0,0,NA
76,4,1468502,SL,9/16/2015,Afternoon,16,1,0,509
77,4,1468502,SL,9/17/2015,Morning,17,0,0,NA
78,4,1468502,SL,9/17/2015,Afternoon,18,1,0,328
79,4,1468502,SL,9/18/2015,Morning,19,1,0,252
80,4,1468502,SL,9/18/2015,Afternoon,20,1,1,1402
81,6,1468510,SL,9/7/2015,Morning,1,NA,NA,NA
82,6,1468510,SL,9/7/2015,Afternoon,2,0,0,NA
83,6,1468510,SL,9/8/2015,Morning,3,0,0,NA
84,6,1468510,SL,9/8/2015,Afternoon,4,1,1,1544
85,6,1468510,SL,9/9/2015,Morning,5,1,1,1657
86,6,1468510,SL,9/9/2015,Afternoon,6,NA,NA,NA
87,6,1468510,SL,9/10/2015,Morning,7,1,1,784
88,6,1468510,SL,9/10/2015,Afternoon,8,1,1,787
89,6,1468510,SL,9/11/2015,Morning,9,1,1,488
90,6,1468510,SL,9/11/2015,Afternoon,10,NA,NA,NA
91,6,1468510,SL,9/14/2015,Morning,11,1,0,1083
92,6,1468510,SL,9/14/2015,Afternoon,12,NA,NA,NA
93,6,1468510,SL,9/15/2015,Morning,13,1,0,654
94,6,1468510,SL,9/15/2015,Afternoon,14,1,1,1966
95,6,1468510,SL,9/16/2015,Morning,15,1,0,135
96,6,1468510,SL,9/16/2015,Afternoon,16,NA,NA,NA
97,6,1468510,SL,9/17/2015,Morning,17,0,0,NA
98,6,1468510,SL,9/17/2015,Afternoon,18,1,0,421
99,6,1468510,SL,9/18/2015,Morning,19,1,0,402
100,6,1468510,SL,9/18/2015,Afternoon,20,NA,NA,NA
101,9,1468460,SL,9/7/2015,Morning,1,0,0,NA
102,9,1468460,SL,9/7/2015,Afternoon,2,NA,NA,NA
103,9,1468460,SL,9/8/2015,Morning,3,0,0,NA
104,9,1468460,SL,9/8/2015,Afternoon,4,1,1,876
105,9,1468460,SL,9/9/2015,Morning,5,1,0,454
106,9,1468460,SL,9/9/2015,Afternoon,6,1,1,1380
107,9,1468460,SL,9/10/2015,Morning,7,1,1,409
108,9,1468460,SL,9/10/2015,Afternoon,8,0,0,NA
109,9,1468460,SL,9/11/2015,Morning,9,0,0,NA
110,9,1468460,SL,9/11/2015,Afternoon,10,NA,NA,NA
111,9,1468460,SL,9/14/2015,Morning,11,1,0,646
112,9,1468460,SL,9/14/2015,Afternoon,12,NA,NA,NA
113,9,1468460,SL,9/15/2015,Morning,13,NA,NA,NA
114,9,1468460,SL,9/15/2015,Afternoon,14,1,0,534
115,9,1468460,SL,9/16/2015,Morning,15,1,0,466
116,9,1468460,SL,9/16/2015,Afternoon,16,NA,NA,NA
117,9,1468460,SL,9/17/2015,Morning,17,1,0,552
118,9,1468460,SL,9/17/2015,Afternoon,18,1,0,681
119,9,1468460,SL,9/18/2015,Morning,19,1,0,1238
120,9,1468460,SL,9/18/2015,Afternoon,20,1,0,926
121,10,1468515,SL,9/7/2015,Morning,1,1,0,58
122,10,1468515,SL,9/7/2015,Afternoon,2,NA,NA,NA
123,10,1468515,SL,9/8/2015,Morning,3,1,0,55
124,10,1468515,SL,9/8/2015,Afternoon,4,1,0,125
125,10,1468515,SL,9/9/2015,Morning,5,1,0,51
126,10,1468515,SL,9/9/2015,Afternoon,6,1,1,89
127,10,1468515,SL,9/10/2015,Morning,7,0,0,NA
128,10,1468515,SL,9/10/2015,Afternoon,8,1,0,181
129,10,1468515,SL,9/11/2015,Morning,9,1,0,64
