"","X","TubID","LizardID","Treatment","Date","Time","Trial","Correct","Choose.only.correct.dish","Latency","lt","learnt"
"1",1,1,"1468549","SL",2015-08-10,"Morning",1,1,0,403,1,1
"2",2,1,"1468549","SL",2015-08-10,"Afternoon",2,1,0,468,1,1
"3",3,1,"1468549","SL",2015-08-11,"Morning",3,1,0,827,1,1
"4",4,1,"1468549","SL",2015-08-11,"Afternoon",4,1,0,282,1,1
"5",5,1,"1468549","SL",2015-08-14,"Morning",5,1,1,661,1,1
"6",6,1,"1468549","SL",2015-08-14,"Afternoon",6,1,0,474,1,1
"7",7,1,"1468549","SL",2015-08-17,"Morning",7,0,0,NA,1,1
"8",8,1,"1468549","SL",2015-08-17,"Afternoon",8,0,0,NA,0,1
"9",9,1,"1468549","SL",2015-08-18,"Morning",9,1,0,1062,0,1
"10",10,1,"1468549","SL",2015-08-18,"Afternoon",10,1,0,171,0,1
"11",11,1,"1468549","SL",2015-08-19,"Morning",11,1,0,766,0,1
"12",12,1,"1468549","SL",2015-08-19,"Afternoon",12,1,0,531,0,1
"13",13,1,"1468549","SL",2015-08-20,"Morning",13,1,1,713,0,1
"14",14,1,"1468549","SL",2015-08-20,"Afternoon",14,1,0,397,0,1
"15",15,1,"1468549","SL",2015-08-21,"Morning",15,1,1,449,0,1
"16",16,1,"1468549","SL",2015-08-21,"Afternoon",16,1,0,536,0,1
"17",17,1,"1468549","SL",2015-08-24,"Morning",17,1,0,142,0,1
"18",18,1,"1468549","SL",2015-08-24,"Afternoon",18,1,1,181,0,1
"19",19,1,"1468549","SL",2015-08-25,"Morning",19,1,1,194,0,1
"20",20,1,"1468549","SL",2015-08-25,"Afternoon",20,0,0,NA,0,1
"21",21,1,"1468549","SL",2015-08-26,"Morning",21,1,0,247,0,1
"22",22,1,"1468549","SL",2015-08-26,"Afternoon",22,1,0,291,0,1
"23",23,1,"1468549","SL",2015-08-27,"Morning",23,0,0,NA,0,1
"24",24,1,"1468549","SL",2015-08-27,"Afternoon",24,0,0,NA,0,1
