LizardID,Batch,TubID,Treatment,Date,Time,Trial,Correct,Choose.only.correct.dish,Latency,lt,learnt
1468460,1,9,1,10/08/2015,Morning,1,1,1,1722,1,1
1468460,1,9,1,10/08/2015,Afternoon,2,1,1,970,1,1
1468460,1,9,1,11/08/2015,Morning,3,1,1,256,1,1
1468460,1,9,1,11/08/2015,Afternoon,4,1,1,1180,1,1
1468460,1,9,1,14/08/2015,Morning,5,1,0,263,1,1
1468460,1,9,1,14/08/2015,Afternoon,6,1,0,726,1,1
1468460,1,9,1,17/08/2015,Morning,7,1,1,248,1,1
1468460,1,9,1,17/08/2015,Afternoon,8,1,0,2156,1,1
1468460,1,9,1,18/08/2015,Morning,9,1,0,333,0,1
1468460,1,9,1,18/08/2015,Afternoon,10,1,0,485,0,1
1468460,1,9,1,19/08/2015,Morning,11,1,0,1113,0,1
1468460,1,9,1,19/08/2015,Afternoon,12,1,0,432,0,1
1468460,1,9,1,20/08/2015,Morning,13,1,1,379,0,1
1468460,1,9,1,20/08/2015,Afternoon,14,1,0,1024,0,1
1468460,1,9,1,21/08/2015,Morning,15,1,1,423,0,1
1468460,1,9,1,21/08/2015,Afternoon,16,1,0,280,0,1
1468460,1,9,1,24/08/2015,Morning,17,1,0,529,0,1
1468460,1,9,1,24/08/2015,Afternoon,18,1,1,801,0,1
1468460,1,9,1,25/08/2015,Morning,19,1,1,224,0,1
1468460,1,9,1,25/08/2015,Afternoon,20,1,0,967,0,1
1468460,1,9,1,26/08/2015,Morning,21,0,0,NA,0,1
1468460,1,9,1,26/08/2015,Afternoon,22,0,0,NA,0,1
1468460,1,9,1,27/08/2015,Morning,23,0,0,NA,0,1
1468460,1,9,1,27/08/2015,Afternoon,24,1,0,787,0,1
1468460,1,9,1,28/08/2015,Morning,25,1,0,547,0,1
1468460,1,9,1,28/08/2015,Afternoon,26,1,1,602,0,1
1468476,1,15,0,10/08/2015,Morning,1,0,0,161,1,1
1468476,1,15,0,10/08/2015,Afternoon,2,1,0,150,1,1
1468476,1,15,0,11/08/2015,Morning,3,1,0,359,1,1
1468476,1,15,0,11/08/2015,Afternoon,4,0,0,NA,1,1
1468476,1,15,0,14/08/2015,Morning,5,0,0,NA,1,1
1468476,1,15,0,14/08/2015,Afternoon,6,0,0,NA,1,1
1468476,1,15,0,17/08/2015,Morning,7,1,0,332,1,1
1468476,1,15,0,17/08/2015,Afternoon,8,1,0,473,1,1
1468476,1,15,0,18/08/2015,Morning,9,1,0,213,1,1
1468476,1,15,0,18/08/2015,Afternoon,10,1,1,88,1,1
1468476,1,15,0,19/08/2015,Morning,11,1,0,140,1,1
1468476,1,15,0,19/08/2015,Afternoon,12,1,0,165,1,1
1468476,1,15,0,20/08/2015,Morning,13,1,0,214,1,1
1468476,1,15,0,20/08/2015,Afternoon,14,1,0,155,0,1
1468476,1,15,0,21/08/2015,Morning,15,1,0,68,0,1
1468476,1,15,0,21/08/2015,Afternoon,16,1,0,66,0,1
1468476,1,15,0,24/08/2015,Morning,17,1,1,312,0,1
1468476,1,15,0,24/08/2015,Afternoon,18,1,0,145,0,1
1468476,1,15,0,25/08/2015,Morning,19,1,1,89,0,1
1468476,1,15,0,25/08/2015,Afternoon,20,1,0,393,0,1
1468476,1,15,0,26/08/2015,Morning,21,1,0,139,0,1
1468476,1,15,0,26/08/2015,Afternoon,22,1,0,323,0,1
1468476,1,15,0,27/08/2015,Morning,23,1,0,172,0,1
1468476,1,15,0,27/08/2015,Afternoon,24,1,0,70,0,1
1468476,1,15,0,28/08/2015,Morning,25,1,0,182,0,1
1468476,1,15,0,28/08/2015,Afternoon,26,1,0,149,0,1
1468502,1,4,1,10/08/2015,Morning,1,0,0,1651,1,1
1468502,1,4,1,10/08/2015,Afternoon,2,1,0,1343,1,1
1468502,1,4,1,11/08/2015,Morning,3,1,0,1272,1,1
1468502,1,4,1,11/08/2015,Afternoon,4,1,1,719,1,1
1468502,1,4,1,14/08/2015,Morning,5,1,0,130,1,1
1468502,1,4,1,14/08/2015,Afternoon,6,1,0,848,1,1
1468502,1,4,1,17/08/2015,Morning,7,1,0,662,1,1
1468502,1,4,1,17/08/2015,Afternoon,8,1,1,575,1,1
1468502,1,4,1,18/08/2015,Morning,9,1,1,919,0,1
1468502,1,4,1,18/08/2015,Afternoon,10,1,0,652,0,1
1468502,1,4,1,19/08/2015,Morning,11,1,1,275,0,1
1468502,1,4,1,19/08/2015,Afternoon,12,1,0,526,0,1
1468502,1,4,1,20/08/2015,Morning,13,1,1,571,0,1
1468502,1,4,1,20/08/2015,Afternoon,14,1,0,740,0,1
1468502,1,4,1,21/08/2015,Morning,15,1,0,837,0,1
1468502,1,4,1,21/08/2015,Afternoon,16,1,0,587,0,1
1468502,1,4,1,24/08/2015,Morning,17,1,1,1019,0,1
1468502,1,4,1,24/08/2015,Afternoon,18,1,1,853,0,1
1468502,1,4,1,25/08/2015,Morning,19,1,0,877,0,1
1468502,1,4,1,25/08/2015,Afternoon,20,1,1,513,0,1
1468502,1,4,1,26/08/2015,Morning,21,0,0,NA,0,1
1468502,1,4,1,26/08/2015,Afternoon,22,1,0,1175,0,1
1468502,1,4,1,27/08/2015,Morning,23,1,0,1268,0,1
1468502,1,4,1,27/08/2015,Afternoon,24,0,0,NA,0,1
1468502,1,4,1,28/08/2015,Morning,25,1,0,1207,0,1
1468502,1,4,1,28/08/2015,Afternoon,26,1,0,949,0,1
1468504,2,7,0,19/10/2015,Morning,1,0,0,NA,1,1
1468504,2,7,0,19/10/2015,Afternoon,2,1,0,428,1,1
1468504,2,7,0,20/10/2015,Morning,3,1,0,74,1,1
1468504,2,7,0,20/10/2015,Afternoon,4,0,0,NA,1,1
1468504,2,7,0,21/10/2015,Morning,5,1,0,152,1,1
1468504,2,7,0,21/10/2015,Afternoon,6,0,0,NA,1,1
1468504,2,7,0,22/10/2015,Morning,7,1,0,190,1,1
1468504,2,7,0,22/10/2015,Afternoon,8,0,0,NA,1,1
1468504,2,7,0,23/10/2015,Morning,9,1,0,61,1,1
1468504,2,7,0,23/10/2015,Afternoon,10,0,0,NA,1,1
1468504,2,7,0,26/10/2015,Morning,11,1,0,265,1,1
1468504,2,7,0,26/10/2015,Afternoon,12,0,0,NA,1,1
1468504,2,7,0,27/10/2015,Morning,13,1,0,33,1,1
1468504,2,7,0,27/10/2015,Afternoon,14,1,0,382,1,1
1468504,2,7,0,28/10/2015,Morning,15,1,0,220,1,1
1468504,2,7,0,28/10/2015,Afternoon,16,1,0,346,1,1
1468504,2,7,0,29/10/2015,Morning,17,0,0,NA,1,1
1468504,2,7,0,29/10/2015,Afternoon,18,1,0,556,1,1
1468504,2,7,0,30/10/2015,Morning,19,1,0,211,1,1
1468504,2,7,0,30/10/2015,Afternoon,20,1,0,698,1,1
1468504,2,7,0,2/11/2015,Morning,21,1,0,292,0,1
1468504,2,7,0,2/11/2015,Afternoon,22,1,0,64,0,1
1468504,2,7,0,3/11/2015,Morning,23,0,0,NA,0,1
1468504,2,7,0,3/11/2015,Afternoon,24,1,0,141,0,1
1468504,2,7,0,4/11/2015,Morning,25,1,0,418,0,1
1468504,2,7,0,4/11/2015,Afternoon,26,0,0,NA,0,1
1468504,2,7,0,5/11/2015,Morning,27,1,0,308,0,1
1468504,2,7,0,5/11/2015,Afternoon,28,0,0,NA,0,1
1468504,2,7,0,6/11/2015,Morning,29,1,0,247,0,1
1468504,2,7,0,6/11/2015,Afternoon,30,1,0,162,0,1
1468506,1,2,1,10/08/2015,Morning,1,0,0,NA,1,1
1468506,1,2,1,10/08/2015,Afternoon,2,1,0,169,1,1
1468506,1,2,1,11/08/2015,Morning,3,1,0,244,1,1
1468506,1,2,1,11/08/2015,Afternoon,4,1,0,143,1,1
1468506,1,2,1,14/08/2015,Morning,5,1,1,91,1,1
1468506,1,2,1,14/08/2015,Afternoon,6,1,0,163,1,1
1468506,1,2,1,17/08/2015,Morning,7,1,0,31,1,1
1468506,1,2,1,17/08/2015,Afternoon,8,1,0,99,1,1
1468506,1,2,1,18/08/2015,Morning,9,1,1,162,0,1
1468506,1,2,1,18/08/2015,Afternoon,10,1,0,54,0,1
1468506,1,2,1,19/08/2015,Morning,11,1,0,78,0,1
1468506,1,2,1,19/08/2015,Afternoon,12,1,0,69,0,1
1468506,1,2,1,20/08/2015,Morning,13,0,0,NA,0,1
1468506,1,2,1,20/08/2015,Afternoon,14,1,0,45,0,1
1468506,1,2,1,21/08/2015,Morning,15,1,0,175,0,1
1468506,1,2,1,21/08/2015,Afternoon,16,1,0,192,0,1
1468506,1,2,1,24/08/2015,Morning,17,1,1,59,0,1
1468506,1,2,1,24/08/2015,Afternoon,18,1,1,43,0,1
1468506,1,2,1,25/08/2015,Morning,19,1,1,202,0,1
1468506,1,2,1,25/08/2015,Afternoon,20,1,0,292,0,1
1468506,1,2,1,26/08/2015,Morning,21,0,0,NA,0,1
1468506,1,2,1,26/08/2015,Afternoon,22,0,0,NA,0,1
1468506,1,2,1,27/08/2015,Morning,23,1,1,92,0,1
1468506,1,2,1,27/08/2015,Afternoon,24,1,0,121,0,1
1468506,1,2,1,28/08/2015,Morning,25,1,0,117,0,1
1468506,1,2,1,28/08/2015,Afternoon,26,1,0,66,0,1
1468509,1,8,1,17/08/2015,Morning,1,1,1,334,1,1
1468509,1,8,1,17/08/2015,Afternoon,2,1,0,477,1,1
1468509,1,8,1,18/08/2015,Morning,3,1,1,344,1,1
1468509,1,8,1,18/08/2015,Afternoon,4,1,1,154,1,1
1468509,1,8,1,19/08/2015,Morning,5,1,0,273,1,1
1468509,1,8,1,19/08/2015,Afternoon,6,1,0,157,1,1
1468509,1,8,1,20/08/2015,Morning,7,1,0,148,1,1
1468509,1,8,1,20/08/2015,Afternoon,8,0,0,NA,1,1
1468509,1,8,1,21/08/2015,Morning,9,1,0,291,0,1
1468509,1,8,1,21/08/2015,Afternoon,10,1,0,184,0,1
1468509,1,8,1,24/08/2015,Afternoon,11,1,1,239,0,1
1468509,1,8,1,25/08/2015,Morning,12,1,1,44,0,1
1468509,1,8,1,25/08/2015,Afternoon,13,1,1,84,0,1
1468509,1,8,1,26/08/2015,Morning,14,0,0,NA,0,1
1468509,1,8,1,26/08/2015,Afternoon,15,1,0,167,0,1
1468509,1,8,1,27/08/2015,Morning,16,1,0,168,0,1
1468509,1,8,1,27/08/2015,Afternoon,17,0,0,NA,0,1
1468509,1,8,1,28/08/2015,Morning,18,0,0,NA,0,1
1468509,1,8,1,28/08/2015,Afternoon,19,1,0,130,0,1
1468509,1,8,1,31/08/2015,Morning,20,1,0,382,0,1
1468509,1,8,1,1/09/2015,Morning,21,1,0,402,0,1
